id,name
218231,PKHat's Weejahpalooza | PKHat's Weejahpalooza
225693,PKHat's Warmupahlooza! | PKHat's Warmupahlooza!
209015,Aces Championship Series: Qualifier 1 | Singles (Standard)
231973,PKHat's Birdopahlooza! | PKHat's Birdopalooza
237695,PKHat's JesusChompahlooza | PKHat's JesusChompahlooza!
213935,Aces Championship Series: Qualifier 2 | Singles (Standard)
246018,PKHat's DaisyPeluza | PKHat's DaisyPeluza
249405,Drops 'n Lobs 2 | Singles Standard
213937,Aces Championship Series: Qualifier 3 | Singles (Standard)
248397,Double Bagel Fridays 1 | Mario Tennis Aces
258092,PKHat's Comebackpahlooza! | PKHat's Comebackpahlooza!
213942,Aces Championship Series: Qualifier 4 | Singles (Standard)
258067,Double Bagel Fridays 2 | Mario Tennis Aces
213943,Aces Championship Series: FINALE | Singles (Standard)
267731,Hookshotz Replacementpaluza | Standard with a couple changes!
265099,Cross-Court Chaos #1 | Singles (Standard)
273743,Cross-Court Chaos #2 | Singles (Standard)
268984,Double Bagel Fridays 3 | Mario Tennis Aces
268639,Aces Club Holiday Extravaganza! | Singles (Standard)
281197,Double Bagel Fridays 4 | Mario Tennis Aces
229370,GatorLAN Spring 2019 | Mario Tennis Aces
314488,Cross-Court Chaos #3 | Singles (Standard)
274465,Heart of Battle | Mario Tennis Aces
319430,MariTeni: Boom Boom's Day Off | Standard MariTeni
323798,2 Good Guys impromptu open | Standard Singles
330947,MariTeni: Luigisuccapalooza | Standard Singles
327824,Mario Tennis Aces Club Open #4 | Singles (Standard)
341744,MariTeni: Bill | Standard Singles
341746,MariTeni: Bill | Low Tier Standard
352416,Mario Tennis Aces - Swiss! | Standard Singles
354814,Mario Tennis Aces Club Open 5 - The Finale | Standard Singles
364952,2GG: SwitchFest 2019 | Mario Tennis Aces
